#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
0	0.0008	0.0002
1	0.0008	0.0004
2	0.0006	0.0002
3	0.002	0.0006
4	0.0154	0.003
5	0.306	0.0746
6	0.4178	0.1024
7	0.3534	0.0858
8	0.1922	0.0498
9	0.0956	0.0248
10	0.0416	0.009
11	0.0194	0.004
12	0.0056	0.0026
13	0.0026	0.0006
14	0.002	0.0002
15	0.0004	0.0002
16	0.0018	0.0006
17	0.004	0.001
18	0.063	0.0152
19	0.3424	0.0882
20	0.3052	0.0774
21	0.246	0.0622
22	0.1488	0.0356
23	0.0768	0.018
24	0.0338	0.0068
25	0.0148	0.0026
26	0.0062	0.0014
27	0.0014	0.0006
28	0.001	0
29	0.0012	0.0002
30	0.0056	0.0006
31	0.0426	0.012
32	0.2526	0.062
33	0.3654	0.0946
34	0.235	0.0602
35	0.1148	0.03
36	0.0584	0.0146
37	0.0238	0.0058
38	0.0112	0.0012
39	0.0054	0.0008
40	0.0016	0.0002
41	0.001	0.0002
42	0.0012	0
43	0.0018	0.0006
44	0.0088	0.0028
45	0.1384	0.039
46	0.1864	0.0476
47	0.2082	0.0518
48	0.262	0.0664
49	0.1584	0.0392
50	0.0946	0.0174
51	0.0466	0.011
52	0.0224	0.0052
53	0.0096	0.0028
54	0.0026	0.0016
55	0.0022	0.0006
56	0.005	0.0014
57	0.0168	0.0032
58	0.099	0.0236
59	0.385	0.0932
60	0.4068	0.1026
61	0.2968	0.0714
62	0.2118	0.0492
63	0.118	0.027
64	0.0506	0.0106
65	0.0214	0.004
66	0.008	0.002
67	0.003	0.0006
68	0.0016	0.0002
69	0.0016	0.0006
70	0.0044	0.0016
71	0.0356	0.0078
72	0.3142	0.0784
73	0.3444	0.085
74	0.2776	0.072
75	0.1866	0.0498
76	0.096	0.0242
77	0.0412	0.0096
78	0.0174	0.0022
79	0.007	0.0018
80	0.003	0.0008
81	0.0016	0.0006
82	0.0008	0.0004
83	0.0032	0.0002
84	0.0116	0.0036
85	0.1152	0.0318
86	0.2276	0.0626
87	0.1594	0.0366
88	0.1684	0.0394
89	0.1132	0.0252
90	0.0638	0.0132
91	0.0306	0.006
92	0.017	0.0032
93	0.0054	0.0014
94	0.0024	0.0006
95	0.001	0.0006
96	0.0024	0.0008
97	0.026	0.0068
98	0.162	0.0422
99	0.2586	0.066
100	0.2734	0.0724
101	0.174	0.0476
102	0.105	0.0282
103	0.054	0.012
104	0.0258	0.0054
