#time,	NE,	NI
0	0.001	0.001
1	0.001	0
2	0	0
3	0.0012	0
4	0.0246	0.006
5	0.0938	0.0206
6	0.2162	0.0578
7	0.159	0.032
8	0.1932	0.0402
9	0.1226	0.0314
10	0.0058	0.0006
11	0.077	0.019
12	0.0504	0.006
13	0.1218	0.0298
14	0.0578	0.002
15	0.123	0.0316
16	0.0258	0
17	0.2116	0.0526
18	0.1396	0.032
19	0.3166	0.0796
20	0.0616	0.008
21	0.2684	0.0622
22	0.218	0.0476
23	0.1692	0.0368
24	0.1812	0.0452
25	0.0882	0.0218
26	0.0846	0.017
27	0.231	0.0524
28	0.2088	0.052
29	0.1438	0.0276
30	0.2536	0.061
31	0.1318	0.0386
32	0.1702	0.0446
33	0.1486	0.0422
34	0.0374	0.013
35	0.0304	0.0014
36	0.1178	0.0294
37	0.004	0.0006
38	0.004	0.0002
39	0.011	0.0024
40	0.0984	0.0252
41	0.0428	0.001
42	0.2588	0.0644
43	0.1698	0.0398
44	0.2462	0.0662
45	0.1572	0.033
46	0.2018	0.053
47	0.0306	0.0154
48	0.0918	0.0304
49	0.0092	0.011
50	0.0738	0.0166
51	0.2276	0.058
52	0.0702	0.014
53	0.144	0.037
54	0.231	0.0498
55	0.1424	0.0334
56	0.1894	0.0476
57	0.0296	0.0096
58	0.1086	0.0262
59	0.1458	0.0302
60	0.1126	0.028
61	0.035	0
62	0.226	0.0466
63	0.1612	0.0386
64	0.3398	0.0842
65	0.1318	0.0196
66	0.1976	0.0496
67	0.0146	0.0004
68	0.0794	0.0202
69	0.0038	0.001
70	0.0046	0.0008
71	0.055	0.0042
72	0.0866	0.0216
73	0.0542	0.0104
74	0.214	0.0532
75	0.1208	0.0234
76	0.1968	0.0492
77	0.0722	0.005
78	0.3226	0.0806
79	0.016	0
80	0.1086	0.0268
81	0.0018	0.0002
82	0.0558	0.0002
83	0.2424	0.061
84	0.0834	0.0096
85	0.163	0.0406
86	0.0506	0.01
87	0.1272	0.0316
88	0.151	0.0352
89	0.119	0.038
90	0.1358	0.0322
91	0.2284	0.0474
92	0.2126	0.0594
93	0.0272	0.0004
94	0.1192	0.0298
95	0.0626	0.0104
96	0.1326	0.0296
97	0.0392	0.0072
98	0.1166	0.029
99	0.1126	0.0256
100	0.096	0.0206
101	0.1242	0.0292
102	0.1332	0.0258
103	0.1492	0.03
104	0.1682	0.0356
105	0.1764	0.0368
106	0.1216	0.03
107	0.0298	0.0056
108	0.0772	0.0172
109	0.2486	0.0554
110	0.1454	0.0298
111	0.1118	0.0252
112	0.1506	0.0332
113	0.235	0.0524
114	0.142	0.0286
115	0.123	0.0302
116	0.0104	0.0004
117	0.0502	0.0116
118	0.0828	0.02
119	0.0736	0.0106
120	0.1266	0.0376
121	0.1458	0.0286
122	0.2712	0.0636
123	0.1754	0.034
124	0.2842	0.0714
