#time,	LE,	LI
0	0	0
1	0.000797345	0.000206541
2	0.00137814	0.000206541
3	0.00472323	0.000829768
4	0.107484	0.0267715
5	0.393088	0.0948024
6	0.553748	0.137173
7	0.5887	0.145376
8	0.597144	0.147984
9	0.498535	0.148784
10	0.220966	0.148361
11	0.0601179	0.12242
12	0.0253822	0.0547883
13	0.0148353	0.012623
14	0.0160262	0.00586521
15	0.124265	0.0305337
16	0.408971	0.104746
17	0.499253	0.130508
18	0.516502	0.132921
19	0.521787	0.13575
20	0.410301	0.136155
21	0.129184	0.13471
22	0.0389154	0.107226
23	0.0212513	0.0322148
24	0.0118309	0.00644681
25	0.054922	0.0150887
26	0.261174	0.0647947
27	0.476915	0.114999
28	0.57233	0.140932
29	0.591856	0.146168
30	0.548828	0.148341
31	0.356747	0.148145
32	0.140601	0.137287
33	0.0447806	0.0843529
34	0.0248534	0.0339664
35	0.0209808	0.00824124
36	0.100969	0.0243298
37	0.41714	0.103929
38	0.541395	0.133995
39	0.57918	0.143617
40	0.590488	0.146798
41	0.496295	0.147385
42	0.193327	0.147177
43	0.0690404	0.125852
44	0.0316248	0.0442791
45	0.0199408	0.0144119
46	0.0239948	0.00721373
47	0.196641	0.0435266
48	0.57429	0.137401
49	0.647513	0.160579
50	0.652111	0.162013
51	0.645649	0.162016
52	0.465572	0.162017
53	0.0883476	0.159397
54	0.0147565	0.119902
55	0.0103303	0.0250135
56	0.00917988	0.00203899
57	0.215513	0.0517698
58	0.515236	0.127007
59	0.589875	0.146314
60	0.606041	0.151311
61	0.610576	0.151895
62	0.400871	0.152682
63	0.100727	0.152477
64	0.0264677	0.101313
65	0.0101297	0.0258733
66	0.00518355	0.00655969
67	0.00962939	0.00257096
68	0.18797	0.0454039
69	0.475799	0.122011
70	0.537687	0.137013
71	0.55702	0.141225
72	0.558594	0.14259
73	0.386718	0.143402
74	0.0992895	0.142596
75	0.0379884	0.0991782
76	0.0192304	0.0217849
77	0.0112269	0.00678304
78	0.0396223	0.0134168
79	0.155523	0.0413747
80	0.328016	0.0824044
81	0.450469	0.114104
82	0.495268	0.123765
83	0.483836	0.129531
84	0.380753	0.129531
85	0.213256	0.118895
86	0.0902365	0.0897706
87	0.0454171	0.0477375
88	0.0219834	0.0158352
89	0.0132174	0.00762922
90	0.0461712	0.0101341
91	0.411997	0.0981091
92	0.605263	0.147375
93	0.638257	0.155542
94	0.641571	0.157553
95	0.607632	0.157553
96	0.256868	0.156099
97	0.0631968	0.147828
98	0.030416	0.0598533
99	0.0220803	0.0107574
100	0.0599686	0.0124073
101	0.456792	0.121219
102	0.539603	0.136963
103	0.579026	0.146571
104	0.592449	0.149178
105	0.555153	0.151975
106	0.155474	0.151787
107	0.0726461	0.141771
108	0.033647	0.030948
109	0.0206029	0.015204
110	0.0219702	0.00720653
111	0.154495	0.0439076
112	0.291861	0.0799191
113	0.36335	0.0962999
114	0.405581	0.107931
115	0.419611	0.111124
116	0.286845	0.113533
117	0.149493	0.112133
118	0.0777756	0.0728246
119	0.0351657	0.0344247
120	0.0155811	0.0178522
121	0.00403316	0.00622146
122	0.0074503	0.00421488
123	0.057332	0.0149838
124	0.309043	0.0776547
125	0.471532	0.118467
126	0.526701	0.131571
127	0.545453	0.137971
128	0.501794	0.138754
129	0.262089	0.137567
130	0.0984089	0.124389
131	0.043019	0.0615077
132	0.0208727	0.0206958
133	0.0144695	0.00758439
134	0.0511186	0.014975
135	0.235792	0.0615561
136	0.390406	0.0986879
137	0.474514	0.120497
138	0.501774	0.125694
139	0.470585	0.130737
140	0.298065	0.130335
141	0.144077	0.116545
142	0.0601716	0.0691805
143	0.033065	0.0322533
144	0.0157792	0.0104439
145	0.0211052	0.00960817
146	0.0799423	0.0186043
147	0.409538	0.107379
148	0.493383	0.126766
149	0.520055	0.134368
150	0.512796	0.136802
151	0.461707	0.137007
152	0.143097	0.132645
153	0.0595003	0.118607
154	0.0328349	0.029832
155	0.0229989	0.010851
156	0.0691477	0.0155326
157	0.421718	0.106409
158	0.547362	0.138173
159	0.574681	0.145578
160	0.580924	0.146391
161	0.528376	0.146599
162	0.17999	0.146193
163	0.053523	0.13391
164	0.0266298	0.040587
165	0.0201774	0.00881763
166	0.0908321	0.0188589
167	0.510077	0.136422
168	0.563574	0.145578
169	0.586697	0.150971
170	0.595192	0.15296
171	0.527152	0.153975
172	0.103406	0.153776
173	0.0501235	0.136728
174	0.0263676	0.0185443
175	0.0263192	0.0104143
176	0.0994536	0.0263044
177	0.306607	0.084138
178	0.385038	0.0973458
179	0.475954	0.12377
180	0.488893	0.12816
181	0.420395	0.128768
182	0.2108	0.127533
183	0.132561	0.106438
184	0.0422301	0.0467924
185	0.0208571	0.0323777
186	0.0128292	0.00595367
187	0.0794684	0.0150515
188	0.582498	0.141403
189	0.66855	0.165148
190	0.677037	0.167563
191	0.678888	0.167386
192	0.605718	0.167991
193	0.11886	0.168198
194	0.032391	0.154312
195	0.0245068	0.0271602
196	0.0216752	0.00341514
197	0.458293	0.112942
198	0.606056	0.151627
199	0.643199	0.157039
200	0.659504	0.163197
