#time,	NE,	NI
0	0.0008	0.0002
1	0.0006	0
2	0.0034	0.0006
3	0.1046	0.0264
4	0.3418	0.0818
5	0.4386	0.1098
6	0.3928	0.0972
7	0.397	0.1012
8	0.3872	0.099
9	0.0596	0.0128
10	0.001	0
11	0.0008	0.0004
12	0.0012	0.0002
13	0.0056	0.0016
14	0.1206	0.03
15	0.3528	0.0932
16	0.3074	0.081
17	0.2674	0.0648
18	0.303	0.0758
19	0.2766	0.0678
20	0.0164	0.0038
21	0.0008	0.0002
22	0.0008	0.0004
23	0.0014	0.0002
24	0.0496	0.0118
25	0.244	0.062
26	0.3786	0.0918
27	0.4552	0.1094
28	0.4142	0.1034
29	0.4076	0.1018
30	0.1928	0.047
31	0.0006	0.0006
32	0.0008	0
33	0.0008	0.0006
34	0.001	0.0002
35	0.1024	0.0222
36	0.3736	0.094
37	0.3734	0.095
38	0.3956	0.0994
39	0.3904	0.1
40	0.384	0.0978
41	0.0692	0.0154
42	0.0004	0.0004
43	0.0012	0.0004
44	0.0006	0.0002
45	0.009	0.0028
46	0.1984	0.0426
47	0.527	0.1278
48	0.484	0.1234
49	0.394	0.0968
50	0.3948	0.097
51	0.3676	0.092
52	0.0052	0.0004
53	0.0008	0
54	0.0008	0
55	0.0006	0.0002
56	0.2148	0.0518
57	0.417	0.1054
58	0.407	0.0974
59	0.397	0.0986
60	0.3776	0.0942
61	0.3902	0.0956
62	0.0014	0.0004
63	0.0014	0.0002
64	0.0008	0
65	0.0002	0.0002
66	0.0072	0.001
67	0.1834	0.044
68	0.4002	0.1048
69	0.3194	0.0784
70	0.3356	0.0828
71	0.348	0.0866
72	0.3286	0.0822
73	0.0022	0.0006
74	0.0012	0
75	0.0008	0.0002
76	0.0008	0
77	0.0368	0.0114
78	0.1294	0.032
79	0.2618	0.0644
80	0.3498	0.086
81	0.341	0.0844
82	0.37	0.0948
83	0.2176	0.0528
84	0.015	0.0022
85	0.0006	0.0004
86	0.0008	0.0002
87	0.0004	0.0002
88	0.0064	0.002
89	0.0414	0.0096
90	0.3942	0.095
91	0.4778	0.1172
92	0.4468	0.1088
93	0.4422	0.1116
94	0.42	0.1052
95	0.2776	0.0708
96	0.0008	0.0002
97	0.0006	0
98	0.0006	0.0004
99	0.0452	0.011
100	0.4566	0.1192
101	0.2404	0.0556
102	0.3326	0.0818
103	0.3454	0.0854
104	0.358	0.0884
105	0.1672	0.0376
106	0.0004	0.0004
107	0.001	0.0002
108	0.001	0
109	0.0082	0.0016
110	0.1522	0.042
111	0.1904	0.056
112	0.2054	0.0508
113	0.2538	0.066
114	0.2476	0.0586
115	0.254	0.0622
116	0.001	0.0008
117	0.0012	0
118	0.0006	0.0006
119	0.0016	0
120	0.0008	0
121	0.0038	0.0016
122	0.0534	0.0142
123	0.28	0.0708
124	0.3512	0.087
125	0.3562	0.0886
126	0.3696	0.0948
127	0.3368	0.0862
128	0.16	0.0352
129	0.0004	0.0002
130	0.0006	0.0004
131	0.0004	0
132	0.0006	0.0004
133	0.0506	0.0148
134	0.1996	0.054
135	0.2868	0.071
136	0.3446	0.0878
137	0.3342	0.0826
138	0.3686	0.0906
139	0.1616	0.0358
140	0.0016	0.0004
141	0.0008	0.0002
142	0.0008	0.0002
143	0.0008	0
144	0.019	0.0052
145	0.0662	0.0162
146	0.386	0.103
147	0.2706	0.0712
148	0.3044	0.0788
149	0.2956	0.0774
150	0.2248	0.0574
151	0.07	0.0182
152	0.001	0
153	0.0008	0.0002
154	0.0008	0.0004
155	0.0576	0.0132
156	0.4106	0.1042
157	0.3444	0.09
158	0.348	0.0892
159	0.3362	0.0882
160	0.3492	0.0908
161	0.1492	0.0338
162	0.0004	0.0002
163	0.0012	0.0002
164	0.0006	0.0002
165	0.0752	0.0188
166	0.5014	0.1312
167	0.2176	0.0532
168	0.2918	0.0706
169	0.3036	0.0708
170	0.3036	0.0732
171	0.0838	0.0154
172	0.0006	0.0006
173	0.0006	0.0006
174	0.0092	0.0012
175	0.0866	0.023
176	0.2728	0.0748
177	0.2036	0.0482
178	0.344	0.0922
179	0.2846	0.0724
180	0.2642	0.0648
181	0.0508	0.0118
182	0.0006	0.0004
183	0.0012	0.0002
184	0.0006	0
185	0.0018	0
186	0.0776	0.0142
187	0.5638	0.139
188	0.4504	0.1122
189	0.4092	0.1036
190	0.4062	0.101
191	0.4178	0.1032
192	0.1352	0.0312
193	0.0008	0.0004
194	0.0012	0.0004
195	0.0006	0
196	0.4532	0.1138
197	0.3976	0.1008
198	0.372	0.0908
199	0.4382	0.1106
200	0.3976	0.1016
