#time,	NE,	NI
0	0.001	0.001
1	0.0008	0.0002
2	0.0014	0.0002
3	0.0698	0.021
4	0.5246	0.0418
5	0.682	0.1698
6	0.1816	0.0102
7	0.1846	0.0098
8	0.2202	0.0148
9	0.0556	0.0026
10	0.0006	0.0002
11	0.0376	0.0092
12	0.0198	0.0132
13	0.5988	0.0062
14	0.7114	0.1706
15	0.2148	0.0166
16	0.2698	0.0174
17	0.204	0.0228
18	0.1526	0
19	0.0508	0.0234
20	0.0008	0.0036
21	0.0008	0.0036
22	0.5724	0.0032
23	0.658	0.163
24	0.0908	0.01
25	0.119	0.0222
26	0.1226	0.0162
27	0.2326	0.043
28	0.071	0.022
29	0.0014	0.0004
30	0.0018	0.0002
31	0.5758	0.0056
32	0.6672	0.1574
33	0.07	0.0148
34	0.0754	0.0138
35	0.1812	0.033
36	0.2776	0.0422
37	0.0014	0
38	0.0012	0
39	0.0006	0.0004
40	0.5542	0.0156
41	0.605	0.1506
42	0.0568	0.0102
43	0.1134	0.0208
44	0.2406	0.0224
45	0.4432	0.046
46	0.0006	0.0004
47	0.001	0
48	0.0012	0
49	0.5286	0.0302
50	0.5542	0.1388
51	0.099	0.0246
52	0.1162	0.0276
53	0.249	0.0436
54	0.419	0.0378
55	0.0008	0.0002
56	0.0002	0.0002
57	0.0044	0.0004
58	0.484	0.0326
59	0.5424	0.1334
60	0.1066	0.026
61	0.1618	0.0384
62	0.242	0.0444
63	0.3762	0.033
64	0.0006	0.0002
65	0.0012	0
66	0.0012	0
67	0.4584	0.0556
68	0.4602	0.1186
69	0.1364	0.0336
70	0.194	0.045
71	0.241	0.0466
72	0.3722	0.0264
73	0.0008	0.0002
74	0.001	0
75	0.0612	0.0032
76	0.4402	0.0558
77	0.425	0.109
78	0.1674	0.04
79	0.2098	0.0446
80	0.2606	0.0492
81	0.1658	0.0206
82	0.001	0
83	0	0
84	0.0768	0.0002
85	0.4262	0.0668
86	0.4124	0.1044
87	0.1916	0.036
88	0.316	0.0556
89	0.4596	0.0446
90	0.0946	0.0006
91	0.0004	0.0002
92	0.0016	0.0002
93	0.0896	0.009
94	0.344	0.0624
95	0.3068	0.074
96	0.2266	0.0448
97	0.3524	0.0708
98	0.271	0.0482
99	0.031	0.0036
100	0.0006	0.0006
101	0.0008	0.0002
102	0.1148	0.0002
103	0.4008	0.0684
104	0.2832	0.086
105	0.2638	0.0512
106	0.3156	0.0612
107	0.4486	0.0354
108	0.0364	0.0002
109	0.0016	0
110	0.0006	0.0002
111	0.1708	0.013
112	0.3594	0.07
113	0.2656	0.0594
114	0.2816	0.0516
115	0.2964	0.0622
116	0.3116	0.0308
117	0.0032	0.0002
118	0.0008	0.0004
119	0.0006	0.0002
120	0.2042	0.0032
121	0.3908	0.0706
122	0.303	0.0668
123	0.295	0.0538
124	0.3162	0.0636
125	0.423	0.0258
126	0.0028	0
127	0.0004	0.0004
128	0.001	0.0004
129	0.206	0.0054
130	0.3982	0.071
131	0.3202	0.0686
132	0.308	0.0552
133	0.328	0.0644
134	0.3974	0.021
135	0.0016	0.0002
136	0.0006	0.0004
137	0.0006	0
138	0.2062	0.0054
139	0.4076	0.0714
140	0.3324	0.0704
141	0.3844	0.0572
142	0.4934	0.0616
143	0.3804	0.0002
144	0.0026	0.0006
145	0.0014	0.0002
146	0.0006	0.0002
147	0.1334	0.0376
148	0.186	0.0242
149	0.3578	0.0804
150	0.4124	0.0718
151	0.3428	0.0676
152	0.1846	0.0134
153	0.033	0.0076
154	0.0012	0
155	0.1374	0.0198
156	0.1722	0.0438
157	0.1676	0.0314
158	0.3318	0.0626
159	0.4076	0.0694
160	0.3372	0.0666
161	0.0774	0.0196
162	0.0464	0.0116
163	0.0002	0
164	0.1188	0.0036
165	0.2062	0.045
166	0.2354	0.0332
167	0.3498	0.0816
168	0.315	0.0492
169	0.4204	0.0558
170	0.0328	0.0042
171	0.0028	0.004
172	0.0002	0.0002
173	0.1072	0.0004
174	0.2116	0.0414
175	0.3102	0.0326
176	0.3822	0.0868
177	0.31	0.0518
178	0.4278	0.0476
179	0.0404	0.0002
180	0.0018	0.0004
181	0.0008	0
182	0.0944	0
183	0.1956	0.0382
184	0.3298	0.0318
185	0.4188	0.0932
186	0.3072	0.054
187	0.4156	0.0436
188	0.0616	0
189	0.003	0
190	0.0008	0
191	0.0786	0.0002
192	0.1772	0.034
193	0.3514	0.0452
194	0.4518	0.099
195	0.302	0.0564
196	0.3962	0.04
197	0.0714	0
198	0.0042	0
199	0.0004	0
200	0.0634	0
201	0.1588	0.0308
202	0.368	0.03
203	0.484	0.104
204	0.3044	0.0596
205	0.3982	0.0356
206	0.111	0
207	0.009	0.0004
208	0.0004	0.0006
209	0.047	0
210	0.1308	0.0266
211	0.3808	0.0292
212	0.5184	0.1088
213	0.3122	0.064
214	0.3854	0.031
215	0.1546	0
216	0.0188	0
217	0.0008	0.0004
218	0.0308	0
219	0.1076	0.0222
220	0.3906	0.0278
221	0.5538	0.113
222	0.3238	0.0678
223	0.3788	0.027
224	0.1982	0.0002
225	0.0342	0.0002
226	0.0012	0.0004
227	0.0154	0
228	0.0686	0.0174
229	0.3456	0.008
230	0.6258	0.121
231	0.361	0.0758
232	0.3238	0.0232
233	0.2326	0.0062
234	0.119	0.0096
235	0.0008	0.0002
236	0.0452	0.0106
237	0.0356	0.0162
238	0.3384	0.0026
239	0.7044	0.121
240	0.4244	0.0804
241	0.2028	0.0076
242	0.1138	0.0074
243	0.0988	0.0074
244	0.003	0.0002
245	0.0008	0.001
246	0.0006	0.0002
247	0.0366	0.0104
248	0.4978	0.0434
249	0.7216	0.1536
250	0.3292	0.0606
251	0.3396	0.0004
252	0.3274	0
253	0.1888	0.011
254	0.0006	0.0002
255	0.0004	0.0004
256	0.0006	0
257	0.0052	0.0004
258	0.2632	0.062
259	0.432	0.0938
260	0.4062	0.0966
261	0.1902	0.0214
262	0.1272	0
263	0.088	0.0002
264	0.0006	0.0002
265	0.0006	0
266	0.0006	0
267	0.0012	0.0002
268	0.0446	0.0136
269	0.5124	0.0282
270	0.709	0.18
271	0.2412	0.0016
272	0.2356	0.001
273	0.2214	0.0014
274	0.1058	0.001
275	0.0006	0.0004
276	0.0008	0
277	0.0008	0
278	0.063	0.0194
279	0.618	0.0414
280	0.6606	0.164
281	0.2036	0.0086
282	0.2322	0.0156
283	0.2344	0.0048
284	0.0648	0.0034
285	0	0.0004
286	0.0052	0.0062
287	0.0196	0
288	0.344	0.03
289	0.595	0.1526
290	0.1648	0.0306
291	0.1958	0.0218
292	0.1872	0.0194
293	0.1382	0.0196
294	0.107	0.0258
295	0.0036	0.0082
296	0.0294	0.0072
297	0.5846	0.0294
298	0.697	0.1716
299	0.3488	0.041
300	0.0986	0.0004
301	0.1014	0.001
302	0.169	0.0182
303	0.0916	0.0268
304	0.0002	0.0002
305	0.0304	0.0002
306	0.5906	0.0528
307	0.6762	0.1534
308	0.1394	0.0212
309	0.063	0.0044
310	0.102	0.0136
311	0.109	0.0208
312	0.0254	0.0106
313	0.0004	0.0002
314	0.042	0.0106
315	0.598	0.0276
316	0.6396	0.1584
317	0.1092	0.015
318	0.1056	0.0156
319	0.1434	0.0244
320	0.0988	0.0148
321	0.0014	0.0096
322	0.0064	0.012
323	0.0292	0
324	0.62	0.0458
325	0.6224	0.1534
326	0.1066	0.0212
327	0.1452	0.0268
328	0.14	0.02
329	0.1024	0.0188
330	0.0762	0.0224
331	0.0398	0.0184
332	0.034	0.0002
333	0.565	0.0284
334	0.619	0.1468
335	0.2412	0.0378
336	0.0844	0.0126
337	0.0768	0.0104
338	0.114	0.021
339	0.0878	0.0384
340	0.0008	0.0002
341	0.0372	0.0004
342	0.5446	0.034
343	0.578	0.1422
344	0.1052	0.0206
345	0.0754	0.0176
346	0.1228	0.0284
347	0.229	0.0436
348	0.1148	0.0338
349	0.0008	0
350	0.0418	0.0002
351	0.5326	0.0412
352	0.5508	0.1356
353	0.0334	0.0072
354	0.07	0.016
355	0.159	0.0346
356	0.2198	0.0456
357	0.0946	0.0292
358	0.0014	0
359	0.0488	0.0002
360	0.512	0.033
361	0.4962	0.1238
362	0.0552	0.0144
363	0.1258	0.0304
364	0.1964	0.044
365	0.207	0.0474
366	0.0416	0.0228
367	0.0006	0.0006
368	0.0598	0.0002
369	0.4756	0.0344
370	0.4478	0.1132
371	0.0756	0.0202
372	0.1602	0.0378
373	0.2628	0.0452
374	0.2528	0.0458
375	0.0008	0
376	0.0012	0.0006
377	0.0674	0
378	0.439	0.0518
379	0.395	0.1014
380	0.1188	0.0306
381	0.1946	0.051
382	0.2716	0.0474
383	0.2376	0.04
384	0.0002	0.0002
385	0.0008	0
386	0.0774	0.0002
387	0.401	0.0392
388	0.366	0.095
389	0.1362	0.0298
390	0.2306	0.0508
391	0.2654	0.0492
392	0.2056	0.0352
393	0.0006	0.0002
394	0.0006	0
395	0.087	0.0002
396	0.3856	0.0416
397	0.345	0.0888
398	0.167	0.0212
399	0.2668	0.0588
400	0.2666	0.0498
401	0.1772	0.0296
402	0.0002	0.0002
403	0.0006	0
404	0.094	0.0006
405	0.3698	0.0428
406	0.3252	0.0836
407	0.2104	0.0376
408	0.2948	0.0648
409	0.2722	0.0524
410	0.1488	0.0242
411	0.0004	0.001
412	0.0004	0.0002
413	0.1004	0
414	0.351	0.0438
415	0.2712	0.0644
416	0.2432	0.0252
417	0.4028	0.0764
418	0.4304	0.0506
419	0.0606	0
420	0.001	0
421	0.0006	0.0002
422	0.103	0.0004
423	0.3322	0.0404
424	0.2688	0.0628
425	0.2486	0.0266
426	0.4334	0.081
427	0.4722	0.047
428	0.0592	0.0006
429	0.0012	0.0002
430	0.0012	0.0002
431	0.088	0.001
432	0.3106	0.0594
433	0.1718	0.059
